year,team,year_sold,month_sold,date,franchise,current_pic_url,name,team_id,colors,buyer,expansion,arena_included,details,price,price_2014_dollars,price_change,franchise_url,current_franchiseurl,price_previous,conference,division,location,arena,team_founding_year,year_joined_nba,color,decade
1946,Atlanta Hawks,1946,8,1946.8,Tri-Cities Blackhawks,http://content.sportslogos.net/logos/6/1124/full/5658.gif,Hawks,ATL,"Navy, Red, Silver",Ben Kerner,Yes,No,Formed in NBL As Buffalo Bisons and then Moved,0,0,0,wikipedia.org/wiki/Tri-Cities_Blackhawks,wikipedia.org/wiki/Atlanta_Hawks,0,Eastern,Southeast,"Atlanta, GA",Philips Arena,1946,1949,#ff0000,1940s
1946,Boston Celtics,1946,8,1946.8,Boston Celtics,http://content.sportslogos.net/logos/6/213/full/5862.gif,Celtics,BOS,"Green, White, Black",Walter A. Brown,Yes,No,Formed in BAA,3000,36281.56997,0,wikipedia.org/wiki/Boston_Celtics,wikipedia.org/wiki/Boston_Celtics,3000,Eastern,Atlantic,"Boston, MA",TD Garden,1946,1946,#009E60,1940s
1946,Golden State Warriors,1946,8,1946.8,Philadelphia Warriors,http://content.sportslogos.net/logos/6/249/full/5508.gif,Warriors,GSW,"Blue, Gold, Yellow",Peter Tyrrell,Yes,No,Created in BAA,0,0,0,wikipedia.org/wiki/Philadelphia_Warriors,wikipedia.org/wiki/Golden_State_Warriors,0,Western,Pacific,"Oakland, CA",Oracle Arena,1946,1946,#FFCC33,1940s
1946,Sacramento Kings,1946,8,1946.8,Rochester Royals,http://www.sportsecyclopedia.com/toc/nba/Rochester-Royals.gif,Kings,SAC,"Purple, Black, Silver, White",Les Harrison,Yes,No,Rochester Royals in NBL,0,0,0,wikipedia.org/wiki/Rochester_Royals,wikipedia.org/wiki/Sacramento_Kings,0,Western,Pacific,"Sacramento, CA",Sleep Train Arena,1923,1948,#753BBD,1940s
1947,Los Angeles Lakers,1947,8,1947.8,Minneapolis Lakers,http://content.sportslogos.net/logos/6/245/full/ehdguza6e3dn3h2ay4cbulnpn.gif,Lakers,LAL,"Purple, Gold, White",Ben Berger,Yes,No,Purchased the Recently Disbanded Team From NBL,15000,158427.7198,0,wikipedia.org/wiki/Minneapolis_Lakers,wikipedia.org/wiki/Los_Angeles_Lakers,15000,Western,Pacific,"Los Angeles, CA",Staples Center,1947,1948,#4A2583,1940s
1947,New York Knicks,1947,8,1947.8,New York Knicks,http://content.sportslogos.net/logos/6/216/full/6031.gif,Knicks,NYK,"Blue, Orange, Silver",Ned Irish,Yes,No,Created As a Part of BAA,0,0,0,wikipedia.org/wiki/New_York_Knicks,wikipedia.org/wiki/New_York_Knicks,0,Eastern,Atlantic,"New York City, NY",Madison Square Garden,1946,1946,#FF7518,1940s
1947,Philadelphia 76ers,1947,8,1947.8,Syracuse Nationals,http://content.sportslogos.net/logos/6/250/full/5959.gif,Sixers,PHL,"Red, Blue, White",Danny Biasone,Yes,No,Created a Team in NBL,0,0,0,wikipedia.org/wiki/Syracuse_Nationals,wikipedia.org/wiki/Philadelphia_76ers,0,Eastern,Atlantic,"Philadelphia, PA",Wells Fargo Center,1946,1949,#d0103a,1940s
1948,Detroit Pistons,1948,8,1948.8,Fort Wayne Pistons,http://content.sportslogos.net/logos/6/244/full/4952.gif,Pistons,DET,"White, Blue, Red",Fred Zollner,Yes,No,Created a Team in NBL,0,0,0,wikipedia.org/wiki/Fort_Wayne_Pistons,wikipedia.org/wiki/Detroit_Pistons,0,Eastern,Central,"Auburn Hills, MI",The Palace of Auburn Hills,1941,1948,#EB003C,1940s
1951,Golden State Warriors,1951,7,1951.7,Philadelphia Warriors,http://content.sportslogos.net/logos/6/249/full/5509.gif,Warriors,GSW,"Blue, Gold, Yellow",Eddie Gottlieb,No,No,Bought the Team,25000,227147.4359,25000,wikipedia.org/wiki/Philadelphia_Warriors,wikipedia.org/wiki/Golden_State_Warriors,0,Western,Pacific,"Oakland, CA",Oracle Arena,1946,1946,#FFCC33,1950s
1957,Los Angeles Lakers,1957,4,1957.4,Minneapolis Lakers,http://content.sportslogos.net/logos/6/245/full/ehdguza6e3dn3h2ay4cbulnpn.gif,Lakers,LAL,"Purple, Gold, White",Bob Short & 117 Minnesota businesses & private citizens,No,No,Sold Team,150000,1259537.915,135000,wikipedia.org/wiki/Minneapolis_Lakers,wikipedia.org/wiki/Los_Angeles_Lakers,15000,Western,Pacific,"Los Angeles, CA",Staples Center,1947,1948,#4A2583,1950s
